CO_UF,NO_UF,CO_MUNICIPIO,NO_MUNICIPIO,DEPENDENCIA_ADM,LOCALIZACAO,MEDIA_5_LP,MEDIA_5_MT,MEDIA_9_LP,MEDIA_9_MT,MEDIA_12_LP,MEDIA_12_MT,MEDIA_13_LP,MEDIA_13_MT,MEDIA_14_LP,MEDIA_14_MT,nivel_0_LP5,nivel_1_LP5,nivel_2_LP5,nivel_3_LP5,nivel_4_LP5,nivel_5_LP5,nivel_6_LP5,nivel_7_LP5,nivel_8_LP5,nivel_9_LP5,nivel_0_MT5,nivel_1_MT5,nivel_2_MT5,nivel_3_MT5,nivel_4_MT5,nivel_5_MT5,nivel_6_MT5,nivel_7_MT5,nivel_8_MT5,nivel_9_MT5,nivel_10_MT5,nivel_0_LP9,nivel_1_LP9,nivel_2_LP9,nivel_3_LP9,nivel_4_LP9,nivel_5_LP9,nivel_6_LP9,nivel_7_LP9,nivel_8_LP9,nivel_0_MT9,nivel_1_MT9,nivel_2_MT9,nivel_3_MT9,nivel_4_MT9,nivel_5_MT9,nivel_6_MT9,nivel_7_MT9,nivel_8_MT9,nivel_9_MT9,nivel_0_LPEMT,nivel_1_LPEMT,nivel_2_LPEMT,nivel_3_LPEMT,nivel_4_LPEMT,nivel_5_LPEMT,nivel_6_LPEMT,nivel_7_LPEMT,nivel_8_LPEMT,nivel_0_MTEMT,nivel_1_MTEMT,nivel_2_MTEMT,nivel_3_MTEMT,nivel_4_MTEMT,nivel_5_MTEMT,nivel_6_MTEMT,nivel_7_MTEMT,nivel_8_MTEMT,nivel_9_MTEMT,nivel_10_MTEMT,nivel_0_LPEMI,nivel_1_LPEMI,nivel_2_LPEMI,nivel_3_LPEMI,nivel_4_LPEMI,nivel_5_LPEMI,nivel_6_LPEMI,nivel_7_LPEMI,nivel_8_LPEMI,nivel_0_MTEMI,nivel_1_MTEMI,nivel_2_MTEMI,nivel_3_MTEMI,nivel_4_MTEMI,nivel_5_MTEMI,nivel_6_MTEMI,nivel_7_MTEMI,nivel_8_MTEMI,nivel_9_MTEMI,nivel_10_MTEMI,nivel_0_LPEM,nivel_1_LPEM,nivel_2_LPEM,nivel_3_LPEM,nivel_4_LPEM,nivel_5_LPEM,nivel_6_LPEM,nivel_7_LPEM,nivel_8_LPEM,nivel_0_MTEM,nivel_1_MTEM,nivel_2_MTEM,nivel_3_MTEM,nivel_4_MTEM,nivel_5_MTEM,nivel_6_MTEM,nivel_7_MTEM,nivel_8_MTEM,nivel_9_MTEM,nivel_10_MTEM
26,Pernambuco,2611705,Riacho das Almas,Total - Estadual e Municipal,Total,"183,56","200,58","248,34","251,32","271,27","280,54",,,"271,27","280,54","9,9","14,4","20,9","20,57","13,72","12,78","5,23","1,9","0,61",0,"1,3","7,09","22,87","22,25","20,98","11,67","8,74","2,6","1,88","0,61",0,"17,44","17,51","18,32","14,02","15,06","11,82","4,7","1,12",0,"13,79","11,28","23,02","21,84","17,46","7,16","3,72","1,74",0,0,"11,23","22,38","25,74","15,32","10,95","8,9","5,47",0,0,"6,78","13,28","30,19","17,58","21,15","7,66","1,1",0,"1,1","1,17",0,,,,,,,,,,,,,,,,,,,,,"11,23","22,38","25,74","15,32","10,95","8,9","5,47",0,0,"6,78","13,28","30,19","17,58","21,15","7,66","1,1",0,"1,1","1,17",0
26,Pernambuco,2611705,Riacho das Almas,Total - Estadual e Municipal,Urbana,"182,68","198,32","251,5","247,94","271,27","280,54",,,"271,27","280,54","13,42","13,23","18,99","19,22","15,09","9,72","6,53","3,8",0,0,"1,27","5,43","26,75","20,42","19,05","16,09","9,56","1,43",0,0,0,"15,24","18,88","16,18","13,63","17,54","10,42","7,15","0,97",0,"13,22","10,34","28,23","21,68","16,6","6,48","3,46",0,0,0,"11,23","22,38","25,74","15,32","10,95","8,9","5,47",0,0,"6,78","13,28","30,19","17,58","21,15","7,66","1,1",0,"1,1","1,17",0,,,,,,,,,,,,,,,,,,,,,"11,23","22,38","25,74","15,32","10,95","8,9","5,47",0,0,"6,78","13,28","30,19","17,58","21,15","7,66","1,1",0,"1,1","1,17",0
26,Pernambuco,2611705,Riacho das Almas,"Total - Federal, Estadual e Municipal",Rural,"184,43","202,85","244,06","255,91",,,,,,,"6,37","15,57","22,81","21,91","12,35","15,84","3,93",0,"1,22",0,"1,33","8,75","18,99","24,09","22,91","7,25","7,92","3,77","3,76","1,22",0,"20,42","15,66","21,22","14,56","11,71","13,73","1,38","1,32",0,"14,55","12,55","15,96","22,07","18,62","8,07","4,08","4,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pernambuco,2611705,Riacho das Almas,"Total - Federal, Estadual e Municipal",Total,"183,56","200,58","248,34","251,32","271,27","280,54",,,"271,27","280,54","9,9","14,4","20,9","20,57","13,72","12,78","5,23","1,9","0,61",0,"1,3","7,09","22,87","22,25","20,98","11,67","8,74","2,6","1,88","0,61",0,"17,44","17,51","18,32","14,02","15,06","11,82","4,7","1,12",0,"13,79","11,28","23,02","21,84","17,46","7,16","3,72","1,74",0,0,"11,23","22,38","25,74","15,32","10,95","8,9","5,47",0,0,"6,78","13,28","30,19","17,58","21,15","7,66","1,1",0,"1,1","1,17",0,,,,,,,,,,,,,,,,,,,,,"11,23","22,38","25,74","15,32","10,95","8,9","5,47",0,0,"6,78","13,28","30,19","17,58","21,15","7,66","1,1",0,"1,1","1,17",0
26,Pernambuco,2611705,Riacho das Almas,"Total - Federal, Estadual e Municipal",Urbana,"182,68","198,32","251,5","247,94","271,27","280,54",,,"271,27","280,54","13,42","13,23","18,99","19,22","15,09","9,72","6,53","3,8",0,0,"1,27","5,43","26,75","20,42","19,05","16,09","9,56","1,43",0,0,0,"15,24","18,88","16,18","13,63","17,54","10,42","7,15","0,97",0,"13,22","10,34","28,23","21,68","16,6","6,48","3,46",0,0,0,"11,23","22,38","25,74","15,32","10,95","8,9","5,47",0,0,"6,78","13,28","30,19","17,58","21,15","7,66","1,1",0,"1,1","1,17",0,,,,,,,,,,,,,,,,,,,,,"11,23","22,38","25,74","15,32","10,95","8,9","5,47",0,0,"6,78","13,28","30,19","17,58","21,15","7,66","1,1",0,"1,1","1,17",0
26,Pernambuco,2611705,Riacho das Almas,"Total - Federal, Estadual, Municipal e Privada",Rural,"184,43","202,85","244,06","255,91",,,,,,,"6,37","15,57","22,81","21,91","12,35","15,84","3,93",0,"1,22",0,"1,33","8,75","18,99","24,09","22,91","7,25","7,92","3,77","3,76","1,22",0,"20,42","15,66","21,22","14,56","11,71","13,73","1,38","1,32",0,"14,55","12,55","15,96","22,07","18,62","8,07","4,08","4,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pernambuco,2611705,Riacho das Almas,"Total - Federal, Estadual, Municipal e Privada",Total,"183,56","200,58","248,34","251,32","271,27","280,54",,,"271,27","280,54","9,9","14,4","20,9","20,57","13,72","12,78","5,23","1,9","0,61",0,"1,3","7,09","22,87","22,25","20,98","11,67","8,74","2,6","1,88","0,61",0,"17,44","17,51","18,32","14,02","15,06","11,82","4,7","1,12",0,"13,79","11,28","23,02","21,84","17,46","7,16","3,72","1,74",0,0,"11,23","22,38","25,74","15,32","10,95","8,9","5,47",0,0,"6,78","13,28","30,19","17,58","21,15","7,66","1,1",0,"1,1","1,17",0,,,,,,,,,,,,,,,,,,,,,"11,23","22,38","25,74","15,32","10,95","8,9","5,47",0,0,"6,78","13,28","30,19","17,58","21,15","7,66","1,1",0,"1,1","1,17",0
26,Pernambuco,2611705,Riacho das Almas,"Total - Federal, Estadual, Municipal e Privada",Urbana,"182,68","198,32","251,5","247,94","271,27","280,54",,,"271,27","280,54","13,42","13,23","18,99","19,22","15,09","9,72","6,53","3,8",0,0,"1,27","5,43","26,75","20,42","19,05","16,09","9,56","1,43",0,0,0,"15,24","18,88","16,18","13,63","17,54","10,42","7,15","0,97",0,"13,22","10,34","28,23","21,68","16,6","6,48","3,46",0,0,0,"11,23","22,38","25,74","15,32","10,95","8,9","5,47",0,0,"6,78","13,28","30,19","17,58","21,15","7,66","1,1",0,"1,1","1,17",0,,,,,,,,,,,,,,,,,,,,,"11,23","22,38","25,74","15,32","10,95","8,9","5,47",0,0,"6,78","13,28","30,19","17,58","21,15","7,66","1,1",0,"1,1","1,17",0
26,Pernambuco,2611804,Ribeirão,Estadual,Rural,,,"242,47","247,65","242,14","239,77",,,"242,14","239,77",,,,,,,,,,,,,,,,,,,,,,"14,71","20,59","23,53","8,82","23,53","8,82",0,0,0,"14,71","17,65","20,59","23,53","11,76","2,94","8,82",0,0,0,"26,68","33,61","27,73","9,03",0,"2,94",0,0,0,"39,71","21,01","18,49","11,97","5,88","2,94",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,"26,68","33,61","27,73","9,03",0,"2,94",0,0,0,"39,71","21,01","18,49","11,97","5,88","2,94",0,0,0,0,0
26,Pernambuco,2611804,Ribeirão,Estadual,Total,,,"242,47","247,65","278,25","277,28",,,"278,25","277,28",,,,,,,,,,,,,,,,,,,,,,"14,71","20,59","23,53","8,82","23,53","8,82",0,0,0,"14,71","17,65","20,59","23,53","11,76","2,94","8,82",0,0,0,"13,09","16,94","17,31","19,96","12,23","14,56","4,06","1,86",0,"13,87","17,45","17,22","17,53","16,23","9,74","6,08","1,12","0,75",0,0,,,,,,,,,,,,,,,,,,,,,"13,09","16,94","17,31","19,96","12,23","14,56","4,06","1,86",0,"13,87","17,45","17,22","17,53","16,23","9,74","6,08","1,12","0,75",0,0
